invoice_number|item_number|item_name|quantity|price_per_unit|ship_from|estimated_ship_date
2923-NB-0103031727|239849212|George Foreman Grill|1|42.91|San Jose, CA|2003-01-04 12:30:00
8273-HJ-0107031222|129934858|Chia Pet|2|5.26|Renton, WA|2003-01-08 10:30:00
3945-MS-1226020752|298495847|Cuisinart|1|72.81|San Jose, CA|2002-12-28 12:30:00
1293-MS-1228020952|394959292|Super Salad Spinner|1|24.12|St. Louis, MO|2002-12-29 11:15:00
9384-JJ-1229022118|392005993|Ab-Cruncher|1|112.42|Renton, WA|2002-12-31 12:45:00
3938-GM-1130021444|129934858|Chia Pet|1|5.26|Renton, WA|2002-12-01 11:45:00
3938-GM-1130021444|321019249|Amazing Pasta Pot|1|9.99|Fort Worth, TX|2002-11-30 17:15:00
9596-FT-1024020618|728295950|Super Chopper|2|12.24|Richmond, VA|2002-10-26 12:45:00
3948-DE-1202021222|129490059|Bonzo Rotisserie|1|79.92|San Jose, CA|2002-12-03 12:30:00
9498-SG-0103030022|882737582|Tae-Fu Workout|2|18.14|Richmond, VA|2003-01-04 14:30:00
9294-SG-0115030918|474829294|Ginsu Knife Set|1|32.92|San Jose, CA|2003-01-16 13:15:00
3949-WA-0106030722|728295950|Super Chopper|1|12.24|Richmond, VA|2003-01-07 12:30:00
8884-JJ-0103030630|321019249|Amazing Pasta Pot|1|9.99|Fort Worth, TX|2003-01-04 11:30:00
9457-DF-0104030020|298495847|Cuisinart|1|72.81|San Jose, CA|2003-01-04 12:30:00
3645-GU-1222021222|239849212|George Foreman Grill|2|42.91|San Jose, CA|2002-12-22 10:00:00
4948-FB-0106030622|821882892|Bug-Off Bug Spray|5|19.99|Renton, WA|2003-01-06 15:30:00
9494-GN-0102030522|412929382|Freezo Yogurt Maker|1|52.42|Renton, WA|2003-01-02 12:30:00
9827-AR-0109031239|392005993|Ab-Cruncher|1|112.42|Renton, WA|2003-01-10 15:45:00
8574-TT-0112032317|728295950|Super Chopper|4|12.24|Richmond, VA|2003-01-13 17:45:00
3849-TT-1101021257|239849212|George Foreman Grill|3|42.91|San Jose, CA|2002-11-04 13:00:00
1362-KG-1229020657|939901929|Furby|8|39.89|Memphis, TN|2002-12-31 14:45:00
2223-FM-1224020932|129490059|Bonzo Rotisserie|1|79.92|San Jose, CA|2002-12-26 10:45:00
3949-CE-1029021722|232924224|Super Vito Vitamins|2|11.32|Memphis, TN|2002-10-30 12:45:00
3949-CE-1029021722|873821093|Colon Cleanse|1|19.19|Fort Worth, TX|2002-10-31 13:15:00
7464-JM-1026021638|309210929|Malibu Barbo Doll|1|23.22|Renton, WA|2002-10-27 15:30:00
9494-EZ-1129022111|309020393|Teddy Ruxpin|1|49.95|San Jose, CA|2002-11-30 18:30:00
3746-CS-1112020227|321019249|Amazing Pasta Pot|2|9.99|Fort Worth, TX|2002-11-12 11:15:00
3939-LP-1006021542|239849212|George Foreman Grill|3|42.91|San Jose, CA|2002-10-08 10:00:00
3939-LP-1006021542|229393901|No-Stick Pancake Griddle|1|19.99|Fort Worth, TX|2002-10-08 10:30:00
3939-LP-1006021542|639393931|Super Wok Cooker|1|29.42|San Jose, CA|2002-10-08 11:45:00
2939-LP-1031021919|122309209|Fat-Away Formula|1|9.81|Renton, WA|2002-11-02 12:00:00
3959-PH-1114021803|298495847|Cuisinart|1|72.81|San Jose, CA|2002-11-15 18:30:00
3939-TN-1129021719|854939292|BreezeGen Fan|1|117.99|San Jose, CA|2002-11-30 17:15:00
9393-JW-1227021829|903093091|Eagle-See Glasses|3|49.99|Fort Worth, TX|2002-12-28 18:45:00
3943-AE-1222021922|212319932|Always-Dry Mukluks|1|89.42|Anchorage, AK|2002-12-23 11:15:00
8484-CA-1219022121|129490059|Bonzo Rotisserie|1|79.92|San Jose, CA|2002-12-21 09:15:00
3443-GB-0103031527|321019249|Amazing Pasta Pot|1|9.99|Fort Worth, TX|2003-01-05 17:30:00
5417-JB-0119030822|232924224|Super Vito Vitamins|5|11.32|Memphis, TN|2003-01-21 12:30:00
5417-JB-0119030822|882737582|Tae-Fu Workout|1|18.14|Richmond, VA|2003-01-21 11:45:00
3746-CS-0127031222|239849212|George Foreman Grill|1|42.91|San Jose, CA|2003-01-31 12:33:00
