B-0060536969                                      |N-01                |306
B-0060536969                                      |NE-11               |601
B-0060536969                                      |NW-10               |1504
B-0060536969                                      |SW-01               |0
B-0064442047                                      |NW-15               |1
B-0064442047                                      |S-04                |3
B-0064442047                                      |S-666               |201
B-0064442047                                      |SE-50               |205
B-0064442047                                      |SW-01               |151
B-0195159055                                      |NW-15               |0
B-0195159055                                      |S-04                |20
B-0394800168                                      |N-01                |300
B-0394800168                                      |NW-15               |5002
B-0394800168                                      |SW-01               |800
B-0395901464                                      |N-01                |0
B-0395901464                                      |NE-11               |0
B-0395901464                                      |S-666               |11
B-0395901464                                      |SE-50               |10
B-0471402761                                      |NE-11               |152
B-0471402761                                      |NW-10               |12
B-0471402761                                      |NW-15               |0
B-0471402761                                      |S-04                |1550
B-0471402761                                      |SE-50               |132
B-0613301226                                      |N-01                |1000000
B-0679410759                                      |NE-11               |3150
B-0679410759                                      |NW-15               |13102
B-0679410759                                      |S-666               |202
B-0679410759                                      |SW-01               |101
B-0679433139                                      |N-01                |85
B-0679433139                                      |NE-11               |75
B-0679433139                                      |NW-10               |65
B-0679433139                                      |NW-15               |55
B-1584500492                                      |S-04                |45
B-1584500492                                      |S-666               |35
B-1584500492                                      |SE-50               |25
B-1584500492                                      |SW-01               |15
M-0471402761                                      |NE-11               |210
M-0471402761                                      |NW-10               |98450
M-0471402761                                      |NW-15               |12
M-0471402761                                      |S-04                |152
M-0471402761                                      |SW-01               |0
M-B000000NIP                                      |N-01                |0
M-B000000NIP                                      |NW-10               |2240015
M-B000000NIP                                      |S-666               |3215
M-B0000026DT                                      |NE-11               |3110
M-B0000026DT                                      |NW-15               |975
M-B0000026DT                                      |S-666               |9740
M-B0000026DT                                      |SW-01               |331
M-B000002UKS                                      |N-01                |64
M-B000002UKS                                      |NW-10               |94
M-B000002UKS                                      |S-04                |21
M-B000002UKS                                      |SE-50               |3154
M-B000002UZ1                                      |NW-10               |100000
M-B00004TLLX                                      |NE-11               |89764
M-B00004TLLX                                      |SW-01               |64812
M-B00005ICAW                                      |N-01                |0
M-B00005ICAW                                      |NE-11               |0
M-B00005ICAW                                      |NW-10               |0
M-B00005ICAW                                      |NW-15               |0
M-B00005ICAW                                      |S-04                |0
M-B00005ICAW                                      |S-666               |0
M-B00005ICAW                                      |SE-50               |0
M-B00005ICAW                                      |SW-01               |0
M-B000062XAE                                      |NW-10               |3545
M-B000062XAE                                      |S-04                |33
M-B000062XAE                                      |S-666               |975
M-B000066TPM                                      |N-01                |99
M-B000066TPM                                      |NE-11               |0
M-B000066TPM                                      |NW-15               |22
M-B000066TPM                                      |S-04                |154
M-B000066TPM                                      |SE-50               |845
M-B000066TPM                                      |SW-01               |4658
M-B00007EL9P                                      |NW-10               |0
M-B00007EL9P                                      |NW-15               |5
M-B00007EL9P                                      |S-666               |481
M-B00007EL9P                                      |SW-01               |6515
